address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities1,skills_required,matched_score,skills_text
,,"['Machine Learning', 'Python', 'SQL', 'Artificial Intelligence', 'Business Analytics', 'Data Extraction', 'Data Analysis', 'Python', 'Haskell', 'Flutter', 'Android']","['D&D University, Daman and Diu']",['B.Tech'],['2018'],['N/A'],['N/A'],['N/A'],['AdSense Media'],['N/A'],['August 2018'],['Till Date'],"[['Machine Learning', 'Data Analysis', 'Data Science']]",['Machine Learning Developer'],['N/A'],"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",['Course Work'],['John Hopkins University'],['N/A'],['Data Science'],,,,,,,,Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,Age 25 to 40 years,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",0.716666667,"Android, Artificial Intelligence, Business Analytics, Data Analysis, Data Extraction, Flutter, Haskell, Machine Learning, Python, Python, SQL."
,"As a recent graduate, I am looking for roles that challenge me and feed my craving for learning. I can easily adapt to new technologies, understand and work with a variety of people, and always looking to solving business problems in much more technology sophisticated ways.","['Machine Learning', 'Deep learning', 'Logistic Regression', 'k-means clustering', 'LSTM', 'Emperical Modelling']",['Inderprastha Engineering College Ghaziabad'],['B.Tech(Computers)'],['2020'],['N/A'],['N/A'],['Computers'],['Absolutdata Research & Analytics'],['N/A'],['Jan 2020'],['Till Date'],"[['Machine Learning', 'Empirical Mode Decomposition', 'LSTM']]",['Machine Learning Intern'],['N/A'],"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",,,,,,,,,,,,"Manager- Human Resource Management (HRM)
","Masters degree in any discipline, Bachelor of Business Administration (BBA)",5 to 6 years,Age 25 to 40 years,"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","HRM Report
Human Resource Management
NGO",0.716666667,"Deep learning, Emperical Modelling, LSTM, Logistic Regression, Machine Learning, k-means clustering."
,,"['Organizational and planning skills', 'Customer Service', 'IT skills (Shopper, Tally, Voyager)', 'Creativity and imagination', 'Business and commercial acumen', 'Drive, motivation and initiative', 'Good Team player', 'Oral and written communication', 'Numerical and analytical ability', 'Ability to lead and motivate a team', 'Influencing and negotiation', 'Work under pressure and deadlines', 'Proficient in MS-Office (Word/Excel/PowerPoint)', 'Focus Integrated ERP software for Retail Garment Stores']","['K.G.R.L P.G College', 'K.G.R.L Degree College']","['MCA', ""Bachelor's Degree in Science""]","['2008', '2005']","['71', '60']","['Percentage', 'Percentage']","['Computer', 'Science']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None]","['Mar 2014', 'Nov 2012', 'Jul 2010', 'Jun 2009', 'May 2008']","['Current', 'Mar 2014', 'Nov 2012', 'Jul 2010', 'Jun 2009']","[['Sales and marketing strategies', 'Distribution network management', 'Sales team management', 'Market research', 'Customer relationship management'], ['Sales', 'Retail parameter management', 'Business expansion', 'Trade marketing strategy development'], ['Sales', 'Visual merchandising', 'Operations management'], ['Sales', 'Local marketing', 'Team motivation'], ['Target achievement', 'Customer service', 'Staff supervision']]","['Business Development Manager', 'Area Sales Executive', 'Business Development Manager', 'Store Manager', 'Floor Manager']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",,,,,,,,,,,,Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm",2 to 4 years,,"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification","Having CACC from reputed CA Firm
Internal Audit and Compliance",0.816666667,"Ability to lead and motivate a team, Business and commercial acumen, Creativity and imagination, Customer Service, Drive, motivation and initiative, Focus Integrated ERP software for Retail Garment Stores, Good Team player, IT skills (Shopper, Tally, Voyager), Influencing and negotiation, Numerical and analytical ability, Oral and written communication, Organizational and planning skills, Proficient in MS-Office (Word/Excel/PowerPoint), Work under pressure and deadlines."
,,"['Electronic & Mechanical Technology', 'Maintenance Management', 'Project Management', 'Program Management', 'Lean/six sigma principles', 'Mechanical Component Troubleshooting', 'Quality Assurance/Control', 'Material Management', 'Staff Development/Leadership', 'Technical Interface', 'Safety Compliance', 'Microsoft Office', 'Microsoft Project', 'Microsoft Access', 'SAP', 'SharePoint']","['Eastern New Mexico University', 'Embry-Riddle Aeronautical University', 'Enterprise Community College']","['MBA', 'Bachelor of Science', 'Associate of Science']","['2015', '2008', '2004']","['N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A']","['N/A', 'Professional Aeronautics', 'Airframe & Power Plant Technology']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['02/2018', '08/2011', '03/2001']","['Current', '02/2018', 'Current']","[['Project Management', 'Engineering', 'Technical Coordination'], ['Aircraft Maintenance', 'Technical Support', 'Engineering Change Management', 'Project Planning'], ['Aircraft Maintenance', 'Technical Supervision', 'Quality Control', 'System Calibration']]","['Engineering Project Manager III', 'Field Engineer/Maintenance Support Engineer', 'Aircraft Mechanic / Electrician / Avionics Technician']","['City, State', 'City, State', 'State']","Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",,,,,,,"['FCC', 'A&P']","[None, None]","[None, None]","['N/A', 'N/A']","[None, None]",Asst. Manager/ Manger (Administrative),Bachelor/Honors,At least 5 years,Age at least 28 years,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","•Administration
•Health Safety and Environment
•Safety and Security Management",0.716666667,"Electronic & Mechanical Technology, Lean/six sigma principles, Maintenance Management, Material Management, Mechanical Component Troubleshooting, Microsoft Access, Microsoft Office, Microsoft Project, Program Management, Project Management, Quality Assurance/Control, SAP, Safety Compliance, SharePoint, Staff Development/Leadership, Technical Interface."
,,"['accounts receivable', 'AIA', 'bank reconciliation', 'billing', 'billings', 'budgets', 'daily cash receipts', 'cash flow', 'Consultant', 'Contracts', 'Controller', 'clients', 'financial', 'financial reports', 'financial statements', 'Forms', 'General Ledger', 'general ledger accounts', 'Government', 'insurance', 'meetings', 'excel', 'Microsoft office applications', 'office', 'PowerPoint', 'Pivot tables', 'presentations', 'Prime', 'progress', 'proposals', 'Express', 'reporting', 'spreadsheet', 'tax', 'Timberline']","['American Intercontinental University', 'Florida International University']","['M.B.A', 'B.A']","['2005', '1997']","['N/A', 'N/A']","[None, None]","['Business Administrator', 'Accounting']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['Jul 2009', 'Jan 2007', 'Jan 2000', 'Jan 1998']","['Current', 'Jan 2009', 'Jan 2007', 'Jan 2000']","[['General ledger accounting', 'Compliance testing knowledge', 'Budget forecasting expertise', 'Account reconciliation'], ['General ledger accounting', 'Compliance testing knowledge', 'Budget forecasting expertise', 'Account reconciliation'], ['General ledger accounting', 'Compliance testing knowledge', 'Budget forecasting expertise', 'Account reconciliation'], ['General ledger accounting', 'Compliance testing knowledge', 'Budget forecasting expertise', 'Account reconciliation']]","['Project Accountant', 'Project Administrator Engineering', 'Project Administrator', 'Senior Staff Accountant']","['City, State', 'City, State', 'City, State', 'City, State']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",,,,,,,,,,,,Data Engineer,Bachelor of Science (BSc),5 to 8 years,,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",0.346666667,"AIA, Consultant, Contracts, Controller, Express, Forms, General Ledger, Government, Microsoft office applications, Pivot tables, PowerPoint, Prime, Timberline, accounts receivable, bank reconciliation, billing, billings, budgets, cash flow, clients, daily cash receipts, excel, financial, financial reports, financial statements, general ledger accounts, insurance, meetings, office, presentations, progress, proposals, reporting, spreadsheet, tax."
,,"['ProEngineer/CREO', 'MiniTab', 'MS Office Suite', 'MS Project', 'MS Visio', 'Injection Molding', 'Trackwise', 'Catsweb', 'Manufacturing', 'Assembly', 'Automation', 'Budget', 'Calibration', 'CNC', 'Coaching', 'Stat Graphics', 'Process Engineering', 'Manufacturing process development and improvement', 'Manufacturing yield improvement', 'CIP']","['UNIVERSITY OF VIRGINIA', 'COLBY COLLEGE']","['Master of Science', 'Bachelor of Arts']","['N/A', 'N/A']","['N/A', 'N/A']","['N/A', 'N/A']","['Mechanical Engineering', 'Physics and Biology']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None]","['April 2014', 'March 2011', 'September 2007', 'February 2005', 'September 2003', 'July 2002', 'September 2000']","['Current', 'April 2014', 'March 2011', 'September 2007', 'February 2005', 'September 2003', 'July 2002']","[['Quality Engineering', 'Compliance', 'NCR Investigations', 'CAPA implementation', 'Calibration'], ['Process Control', 'Automation', 'Injection Molding', 'CNC machining', 'Chemical Processing', 'Technological Expertise'], ['Drafting', 'Custom Tool Production', 'Milling', 'Injection Molding', 'Clean Room Engineering'], ['Process Development and Improvement', 'Automation', 'Validation', 'Production', 'Software Improvement'], ['Automation', 'System Design', 'Labview'], ['Patent Review', 'Compliance', 'Communication'], ['Sol-gel Production', 'Array Design', 'Instrumentation Development', 'Material Testing']]","['Manager, Quality Engineering', 'Senior Engineer II', 'Senior Engineer I', 'Process Engineer II', 'Research Engineer', 'Patent Examiner', 'Graduate Research Assistant']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,,,,,,,,,,,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.716666667,"Assembly, Automation, Budget, CIP, CNC, Calibration, Catsweb, Coaching, Injection Molding, MS Office Suite, MS Project, MS Visio, Manufacturing, Manufacturing process development and improvement, Manufacturing yield improvement, MiniTab, ProEngineer/CREO, Process Engineering, Stat Graphics, Trackwise."
,"Certified Data analyst with a degree in Electronics Engineering, I have hands on experience in analyzing & interpreting data with good numerical accuracy.","['Python', 'Machine Learning', 'MySQL', 'Data Mining', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'Flask API', 'Predictive Modeling', 'AWS', 'Scikit-Learn', 'Numpy', 'Statistical Analysis', 'Multivariate Analysis', 'Decision Trees', 'Random Forest', 'Xgboost', 'NLP']",['Nagpur University'],['B.Tech/B.E.'],['2019'],['N/A'],['N/A'],['Electronics/Telecommunication'],['AMZ Loans and Mortgages ERC Analytics'],['N/A'],['Jun 2019'],['till date'],"[['Data Analysis', 'Employee Satisfaction', 'HR Collaboration']]",['Associate Analyst'],['N/A'],"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",,,,,,,['Google Cloud'],[None],[None],[None],[None],HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,Age 18 to 30 years,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",Human Resource Management,0.65,"AWS, Computer Vision, Data Analysis, Data Mining, Decision Trees, Deep Learning, Flask API, Machine Learning, Multivariate Analysis, MySQL, NLP, Numpy, Predictive Modeling, Python, Random Forest, Scikit-Learn, Statistical Analysis, Xgboost."
,,"['Tutoring', 'Teaching', 'Mathematics', 'Algebra', 'Geometry', 'English', 'Content Management', 'Documentation', 'Middle School & High School Math', 'College Math', 'Presentation', 'Analysis', 'Grading and Evaluation', 'Problem Solving', 'ESL Students', 'Technology Integration', 'Classroom Monitoring', 'Student Assistance', 'Account Management', 'Customer Care and Satisfaction', 'Data Analysis', 'Forecasting', 'Inventory', 'Quantitative Analysis', 'Leadership', 'Operations Management', 'Procurement', 'Project Management', 'Optimization', 'C', 'C++', 'MS Office Suite', 'Google Docs', 'SQL']","['San Francisco State University', 'Yildiz Technical University']","['Master of Business Administration', 'Bachelor of Science']","['2007', '2004']","['N/A', 'N/A']","['N/A', 'N/A']","['Decision Sciences', 'Mathematical Engineering']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None, None, None]","['09/2015', '04/2015', '09/2005', '09/2005', '11/2004', '01/2013', '10/2011', '10/2010', '07/2007']","['Current', '05/2015', '05/2007', '09/2006', '04/2005', '02/2014', '01/2013', '10/2011', '10/2010']","[['Tutoring', 'Teaching', 'Mathematics', 'Algebra', 'Geometry', 'Statistics'], ['Tutoring', 'Teaching', 'Mathematics', 'Algebra'], ['Editing', 'Grading', 'Mathematics', 'Statistics'], ['Tutoring', 'Mathematics', 'Statistics', 'Quantitative Analysis', 'Optimization'], ['Data Analysis', 'Statistical Analysis', 'Operational Improvement'], ['Marketing', 'Content Management', 'Quality Testing'], ['Logistics', 'Data Analysis', 'Team Supervision'], ['Operations Management', 'Documentation', 'Warehouse Productivity'], ['Account Management', 'Customer Satisfaction', 'System Training']]","['Volunteer Math Tutor', 'Volunteer Math Tutor', 'Teaching Assistant', 'Mathematics and Statistics Tutor', 'Operational Excellence Lead, Google Express', 'Consultant', 'Operations Manager', 'Senior Analyst', 'Account Manager and Logistics Analyst']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,,,,,,,,,,,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,Age 25 to 35 years,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",0.716666667,"Account Management, Algebra, Analysis, C, C++, Classroom Monitoring, College Math, Content Management, Customer Care and Satisfaction, Data Analysis, Documentation, ESL Students, English, Forecasting, Geometry, Google Docs, Grading and Evaluation, Inventory, Leadership, MS Office Suite, Mathematics, Middle School & High School Math, Operations Management, Optimization, Presentation, Problem Solving, Procurement, Project Management, Quantitative Analysis, SQL, Student Assistance, Teaching, Technology Integration, Tutoring."
,"Currently looking for an opportunity in Machine Learning and Deep Learning roles. I have a good depth of knowledge in ML Algorithms, various CNN architectures, and worked on Time series data, Image captioning, NLP tasks. Interested to work with an enthusiastic team on business problems.","['Python', 'MySQL', 'Tensorflow', 'Keras', 'Machine Learning', 'Deep Learning']",['PPC University'],['B.Tech'],['2020'],['N/A'],['N/A'],['Chemical'],['ASM Management'],['N/A'],['Jan 2019'],['Oct 2019'],"[['Machine Learning', 'Image Processing']]",['Intern'],['N/A'],"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",['Course'],['TMLF'],['N/A'],['Participant'],,,,,,,,Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,Age 25 to 30 years,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","AutoCAD
Communication and negotiation skills
Internet
MS Office",0.383333333,"Deep Learning, Keras, Machine Learning, MySQL, Python, Tensorflow."
,"A business management graduate with significant experience in disability services, human resources and finance department; seeking to apply my abilities to position in a human resource department. Proven ability to deal with multiple tasks efficiently and maintain organization.","['accounting system', 'Accounts Payable', 'Administrative support', 'agency', 'auditing', 'budget', 'clerical', 'Closing', 'conferences', 'Contracts', 'copying', 'client', 'clients', 'Customer service', 'customer service skills', 'database', 'editing', 'e-mail', 'English', 'faxing', 'filing', 'Finance', 'Financial', 'Financial Analyst', 'financial reports', 'forms', 'Human Resources', 'marketing materials', 'meetings', 'Access', 'Excel', 'mail', 'Microsoft Office', 'Outlook', 'PowerPoint presentations', 'Word', 'Communicator', 'organizing', 'payroll', 'People Soft', 'personnel', 'quick learner', 'safety', 'scanning', 'Spanish', 'spreadsheets', 'spreadsheet', 'tables', 'team player', 'telephone', 'transportation', 'Written']",['Bridgewater State University'],['Bachelor of Science'],['2015'],['N/A'],['N/A'],"['Business Management Accounting, Psychology']","['Company Name', 'Company Name', 'Company Name']","['N/A', 'N/A', 'N/A']","['12/2010', '05/2010', '11/2008']","['Current', '11/2010', '06/2010']","[['Administrative support', 'Finance', 'filing', 'financial records', 'contracts', 'clerical', 'spreadsheets', 'PowerPoint presentations', 'reimbursements', 'payment vouchers', 'financial documents', 'payroll', 'financial reports', 'budget', 'data entry', 'mail merging', 'contracts', 'finance discrepancies'], ['Human Resources', 'confidentiality', 'clerical duties', 'data entry', 'supervision', 'event organization', 'marketing', 'Spanish translation'], ['security', 'report writing', 'customer service', 'safety']]","['Accountant I', 'Intern', 'Security Officer']","['City , State', 'City , State', 'City , State']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",['Undergraduate Research Symposium Panel'],['N/A'],[None],['N/A'],"['English', 'Spanish']","['Bilingual', 'Bilingual']",,,,,,Data Engineer,Bachelor of Science (BSc),5 to 8 years,,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",0.623333333,"Access, Accounts Payable, Administrative support, Closing, Communicator, Contracts, Customer service, English, Excel, Finance, Financial, Financial Analyst, Human Resources, Microsoft Office, Outlook, People Soft, PowerPoint presentations, Spanish, Word, Written, accounting system, agency, auditing, budget, clerical, client, clients, conferences, copying, customer service skills, database, e-mail, editing, faxing, filing, financial reports, forms, mail, marketing materials, meetings, organizing, payroll, personnel, quick learner, safety, scanning, spreadsheet, spreadsheets, tables, team player, telephone, transportation."
