address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities1,skills_required,matched_score,skills_text
,,"['Budget forecasting expertise', 'Analytical reasoning', 'Account reconciliation expert', 'Strong organizational skills', 'General ledger accounting', 'Expert in customer relations', 'Flexible team player', 'Advanced computer proficiency (PC and Mac)', 'Performed debit, credit and total accounts on computer spreadsheets/databases, using specialized accounting software.', 'Received, recorded, and banked cash, checks, and vouchers as well as reconciled records of bank transactions.', 'Worked with management to document and offset unusual expense variances in their respective areas.', 'Assisted the CFO with the production of the monthly financials, management reports and board packages.', 'Coded the general ledger and processed vendor invoice payments.', 'Researched and resolved billing and invoice problems.', 'Account reconciliations', 'Accounting', 'Accountant', 'accounting systems', 'accounting system', 'Accounts payable', 'Adobe Acrobat', 'agency', 'Balance', 'banking', 'Budget analysis', 'budget', 'bi', 'cash handling', 'clerical', 'contracts', 'cost accounting', 'Database', 'fax', 'FDS', 'Finance', 'Financial', 'Financial analysis', 'financial management', 'financial operations', 'financial reports', 'financial statements', 'fiscal management', 'forecasting', 'functional', 'fund accounting', 'funds', 'General Ledger', 'Government', 'grants', 'Innovation', 'maintains inventory', 'inventory', 'leadership skills', 'Macintosh', 'Mainframe', 'managerial', 'managerial accounting', 'Access', 'Microsoft Access', 'Microsoft Excel', 'Excel', 'Microsoft Office software', 'Office', 'Outlook', 'PowerPoint', 'Publisher', 'Windows', 'Word', 'Monitors', 'newsletter', 'Payroll', 'IBM-PC', 'copier', 'Policies', 'processes', 'profit', 'Program Development', 'proposals', 'QuickBooks', 'reconciling', 'record keeping', 'repairs', 'reporting', 'scanner', 'technical support', 'phone', 'time management', 'type', 'written', 'annual reports', 'year-end']","['Troy University', 'Columbus State University']","[""Master's"", 'BBA']","['January 2014', 'December 2009']","['N/A', 'N/A']","['N/A', 'N/A']","['Business Administration', 'Accounting Management']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['04/2016', '04/2010', '04/2006']","['Current', '04/2016', 'Current']","[['Advanced computer proficiency (PC and Mac)', 'General ledger accounting', 'Researched and resolved billing and invoice problems'], ['Revised and streamlined inefficient work procedures with automation software', 'Reduced time and costs and increased efficiency by introducing new accounting procedures', 'Executed accounts receivable reporting enhancements and reconciliation procedures'], ['Developed and implemented a Microsoft Excel Financial Database system for streamlining all financial and charitable contributions record system for the Church']]","['Accountant', 'Accounting Clerk', 'Church Administrator']","['City, State', 'City, State', 'City, State']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,,,,,,,,,,,Business Development Executive,Bachelor/Honors,1 to 3 years,Age 22 to 30 years,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","Fast typing skill
IELTSInternet browsing & online work ability.",0.816666667,"Access, Account reconciliation expert, Account reconciliations, Accountant, Accounting, Accounts payable, Adobe Acrobat, Advanced computer proficiency (PC and Mac), Analytical reasoning, Assisted the CFO with the production of the monthly financials, management reports and board packages., Balance, Budget analysis, Budget forecasting expertise, Coded the general ledger and processed vendor invoice payments., Database, Excel, Expert in customer relations, FDS, Finance, Financial, Financial analysis, Flexible team player, General Ledger, General ledger accounting, Government, IBM-PC, Innovation, Macintosh, Mainframe, Microsoft Access, Microsoft Excel, Microsoft Office software, Monitors, Office, Outlook, Payroll, Performed debit, credit and total accounts on computer spreadsheets/databases, using specialized accounting software., Policies, PowerPoint, Program Development, Publisher, QuickBooks, Received, recorded, and banked cash, checks, and vouchers as well as reconciled records of bank transactions., Researched and resolved billing and invoice problems., Strong organizational skills, Windows, Word, Worked with management to document and offset unusual expense variances in their respective areas., accounting system, accounting systems, agency, annual reports, banking, bi, budget, cash handling, clerical, contracts, copier, cost accounting, fax, financial management, financial operations, financial reports, financial statements, fiscal management, forecasting, functional, fund accounting, funds, grants, inventory, leadership skills, maintains inventory, managerial, managerial accounting, newsletter, phone, processes, profit, proposals, reconciling, record keeping, repairs, reporting, scanner, technical support, time management, type, written, year-end."
,,"['GIS', 'lighting designs using Visual Professional', 'Access', 'Excel', 'Microsoft Office', 'Power Point']","['University of South Florida', 'Hillsborough Community College']","['Bachelors', 'Associates Degree']","['June 2017', 'February 2014']","['3.4', '3.7']","['GPA', 'GPA']","['Information Technology', 'N/A']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['10/2014', '06/2013', '08/2012', '06/2011']","['01/2016', '10/2014', '06/2013', '08/2012']","[None, None, None, None]","['Lighting Field Engineering Technician', 'Administrative Technical Aide', 'Customer Service Professional', 'Business Cooperative Education Student- Customer Care']","['City , State', 'City , State', 'City , State', 'City , State']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,,,,,,,,,,,DevOps Engineer,Bachelor/Honors,At least 3 years,,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability","Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",0.616666667,"Access, Excel, GIS, Microsoft Office, Power Point, lighting designs using Visual Professional."
,Extremely motivated to constantly develop my skills and grow professionally. I am confident in my ability to come up with innovative solutions and maintain better software development practices.,"['Python', 'Machine Learning', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'AWS', 'Scikit-Learn', 'Numpy', 'Java', 'C++', 'SAP']",['V.V.I.T'],['B.TECH'],['2018'],['N/A'],['N/A'],['N/A'],['ACS Solutions Pvt. Ltd.'],['N/A'],['May 2018'],['Ongoing'],"[['Machine Learning', 'React', 'MQTT', 'Cloud']]",['SOFTWARE ENGINEER - MACHINE LEARNING'],['N/A'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",['Competition'],['BITS GOA'],['N/A'],"['RUNNER-UP, SOLINOVATE']",,,,,,,,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.35,"AWS, C++, Computer Vision, Data Analysis, Deep Learning, Java, Machine Learning, Numpy, Python, SAP, Scikit-Learn."
,Fresher who is dynamic and defined when it comes to domain knowledge related to Data Analytics and Machine Learning.,"['Data Analysis', 'Machine Learning', 'Scikit Learn', 'Hive', 'SQL', 'IBM Watson', 'Natural Language Processing', 'AWS Texualizer', 'SparkOCR', 'PySpark', 'Python', 'Tesseract', 'Image Processing']","['VIT, Vellore', 'BMS, Bangalore']","['B.Tech', 'M.Tech']","['2017', '2019']","['N/A', 'N/A']","['N/A', 'N/A']","['Mechanical', 'Machine Learning']",['Indusoft Pvt Ltd'],['N/A'],['Feb 2019'],['Till Date'],"[['Data Analysis', 'Machine Learning', 'Python', 'EDA', 'Model Building', 'Model Validation']]",['Junior Data Analyst'],['N/A'],"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws","['Course', 'Course']","['TestDome', 'Data science and Machine learning with Python']","['N/A', 'N/A']","['Participant', 'Participant']",,,,,,,,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,Age at most 52 years,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws","AUDIT AND INSPECTION
Banking
Internal Audit",0.333333333,"AWS Texualizer, Data Analysis, Hive, IBM Watson, Image Processing, Machine Learning, Natural Language Processing, PySpark, Python, SQL, Scikit Learn, SparkOCR, Tesseract."
"Virginia Beach, VA",,"['automotive', 'basic', 'broadcast', 'cables', 'cable', 'cabling', 'carpentry', 'chill', 'CA', 'conversion', 'Council', 'SC', 'Direction', 'documentation', 'electrical systems', 'electronics', 'equipment installation', 'experimentation', 'FAX', 'forms', 'government', 'GPS', 'HVAC', 'inspecting', 'Inspection', 'laboratory testing', 'leadership', 'team leadership', 'Team Lead', 'team leader', 'lighting', 'Logic', 'Maple', 'mechanical', 'Navy', 'NDS', 'Network', 'OSS', 'personnel', 'plumbing', 'Positioning', 'Power Supply', 'power supplies', 'quality', 'Radio', 'recording', 'San', 'scheduling', 'sorting', 'technical documentation', 'Technician V', 'telecommunications', 'transmission', 'troubleshooting', 'UHF', 'upgrades', 'upgrade', 'VHF', 'Video', 'welder', 'welding', 'written communications']",['Norview High School'],['Diploma'],['1988'],['N/A'],['N/A'],['Electrical Apprenticeship'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['04/2014', '04/1996', '08/1995', '09/1991', '01/1985', '01/1983']","['07/2015', '07/2015', '04/1996', '08/1995', '01/1991', '01/1985']","[['electrical', 'communications', 'electronics', 'telecommunications', 'leadership', 'GPS', 'design', 'coordination', 'scheduling', 'planning', 'technical documentation'], ['electrical', 'communications', 'team leadership', 'GPS', 'documentation', 'testing', 'installation'], ['production', 'supervision', 'maintenance', 'electrical systems', 'mechanical systems'], ['installation', 'design', 'maintenance', 'repair', 'electrical systems', 'sheet metal fabrication'], ['installation', 'troubleshooting', 'repair', 'supervision'], ['installation', 'troubleshooting']]","['Engineering Technician V', 'Engineering Technician V', 'Maintenance Technician', 'Installation Technician', 'Electrical/Mechanical Foreman', 'Electrical Apprentice']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,,,,,,,,,,,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,Age 25 to 35 years,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",0.85,"CA, Council, Direction, FAX, GPS, HVAC, Inspection, Logic, Maple, NDS, Navy, Network, OSS, Positioning, Power Supply, Radio, SC, San, Team Lead, Technician V, UHF, VHF, Video, automotive, basic, broadcast, cable, cables, cabling, carpentry, chill, conversion, documentation, electrical systems, electronics, equipment installation, experimentation, forms, government, inspecting, laboratory testing, leadership, lighting, mechanical, personnel, plumbing, power supplies, quality, recording, scheduling, sorting, team leader, team leadership, technical documentation, telecommunications, transmission, troubleshooting, upgrade, upgrades, welder, welding, written communications."
,"Looking to utilize hands-on experience of machine learning, deep learning and Artificial Intelligence for data discovery, exploration, prediction and analysis tasks.","['Data Analysis', 'Data Analytics', 'Data Mining', 'Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Data Exploration', 'Sequential Analysis']",['Goverment College Of Engineering And Ceramic Technology'],['B.Tech'],['2020'],['N/A'],['N/A'],['Computers'],['WTPL'],['N/A'],['Jun 2020'],['till date'],"[['Machine Learning', 'Data Collection']]",['Associate Project Engineer'],['N/A'],"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,,,,,,,,,,,Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,Age 25 to 32 years,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support","Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",0.85,"Artificial Intelligence, Data Analysis, Data Analytics, Data Exploration, Data Mining, Deep Learning, Linear Regression, Machine Learning, Sequential Analysis."
,I am a Post Graduate having knowledge of industry-level Machine Learning problems and Research topics. I currently work as a Machine Learning Engineer and I want to keep exploring such opportunities.,"['Machine Learning Engineering', 'Algorithm development', 'Python', 'Data Arbitration', 'Neural Networks', 'PyTorch', 'Pattern Recognition', 'Chatbot']","['St Josephs College of Arts And Science Bengaluru', 'Loyola Academy Degree & PG College, Hyderabad']","['B.Sc', 'M.Sc']","['2018', '2020']","['N/A', 'N/A']","['N/A', 'N/A']","['Computer Science Engineering', 'Big Data Analytics']",['ERC Solution'],['N/A'],['Jan 2020'],['Ongoing'],"[['Machine Learning', 'Feature Selection', 'Classification', 'Project Management']]",['Associate Machine Learning Engineer'],['N/A'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,,,,,,,,,,,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,0.716666667,"Algorithm development, Chatbot, Data Arbitration, Machine Learning Engineering, Neural Networks, Pattern Recognition, PyTorch, Python."
,"Looking to utilize hands-on experience of machine learning, deep learning and Artificial Intelligence for data discovery, exploration, prediction and analysis tasks.","['Data Analysis', 'Data Analytics', 'Data Mining', 'Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Data Exploration', 'Sequential Analysis']",['Goverment College Of Engineering And Ceramic Technology'],['B.Tech'],['2020'],['N/A'],['N/A'],['Computers'],['WTPL'],['N/A'],['Jun 2020'],['till date'],"[['Machine Learning', 'Data Collection']]",['Associate Project Engineer'],['N/A'],"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,,,,,,,,,,,Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,Age 25 to 40 years,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",0.85,"Artificial Intelligence, Data Analysis, Data Analytics, Data Exploration, Data Mining, Deep Learning, Linear Regression, Machine Learning, Sequential Analysis."
,I am currently a Graduate who works with NLP-based problems. I am also familiar with Machine Learning Methodologies for production environments. Always a team player and ready to take criticism and work towards better outcomes.,"['Machine Learning', 'Data Transition', 'Natural Language Processing', 'Predictive Analytics', 'Data Cleaning', 'Data Visualization', 'Deep Learning', 'BeRT Modelling', 'Tensorflow', 'Python', 'SciKit Learn', 'Data computation libraries in python']",['PGG College Bangalore'],['B.Tech'],['2019'],['N/A'],['N/A'],['Electrical'],['CutThroat Media'],['N/A'],['Jan 2019'],['Feb 2020'],"[['NLP', 'Data Analysis']]",['NLP Analyst'],['N/A'],"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",,,,,,,"['IABAC', 'DataCamp']","[['Data Science'], ['NLP']]","[None, None]","[None, None]","[None, None]",Civil Engineer,B.Sc in Civil Engineering from a reputed university.,At least 5 years,Age at least 30 years,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits","AutoCAD
ETABS
Microsoft Office Suite
MS Project",0.313333333,"BeRT Modelling, Data Cleaning, Data Transition, Data Visualization, Data computation libraries in python, Deep Learning, Machine Learning, Natural Language Processing, Predictive Analytics, Python, SciKit Learn, Tensorflow."
,"To obtain a position where Teamwork, Integrity and Professionalism are a high standard in the Company's Mission Statement. All while engaging in new challenges and learning experiences.","['Material Management', 'Law Enforcement', 'mechanical test equipment', ""PC's"", 'MS Office', '10key by touch', 'Customer Service', 'Forklift and Crane Certification', 'Self-motivation', 'Leadership', 'NDT Level II', 'mechanical theory', 'pneumatic and hydraulic theory', 'automation', 'closing', 'coaching', 'oral', 'hardware', 'customer support', 'designing', 'direction', 'hand tools', 'inventory', 'ISO 9001', 'Machinery', 'materials', 'mechanical', 'personnel', 'processes', 'Procurement', 'programming', 'progress', 'quality', 'Quality Control', 'Receiving', 'repairs', 'repairing', 'research', 'robotic systems', 'safety', 'scheduling', 'shipping', 'simulation', 'Supervisor', 'Test Equipment', 'Troubleshooting', 'written', 'articles']","['Monterey Peninsula College', 'San Francisco Police Academy']","['General Courses', 'Technical Diploma']","[None, None]","[None, None]","[None, None]","[None, None]","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['05/2014', '04/2013', '11/2007', '10/2006', '11/2004', '07/2001']","[None, '05/2014', '06/2012', '11/2007', '05/2006', '02/2004']","[['designing', 'simulation', 'implementation', 'commission', 'programming', 'troubleshooting', 'maintenance', 'automation', 'electrical systems', 'direction', 'coaching', 'organization', 'communication', 'safety', 'technical problem solving', 'supervision', 'inventory management'], ['repair services', 'customer support', 'equipment installation', 'fire alarm systems', 'preventive maintenance'], ['facility operation', 'machinery maintenance', 'testing equipment', 'wind tunnels', 'mechanical modification', 'installation', 'system inspection', 'report generation'], ['logistics coordination', 'equipment maintenance', 'troubleshooting', 'inventory management', 'compliance'], ['materials expediting', 'configuration verification', 'problem solving', 'auditing', 'promis software', 'logistics'], ['production planning', 'materials management', 'schedule management', 'order management', 'communication']]","['Equipment Engineering Technician', 'Mechanical Technician', 'Operating Engineer / Test Technician', 'Logistics Coordinator / Sr. Lab Technician', 'Production Control Analyst', 'Material/Production Planner']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,,,,,,,,,,,DevOps Engineer,Bachelor/Honors,At least 3 years,,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability","Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",0.85,"10key by touch, Customer Service, Forklift and Crane Certification, ISO 9001, Law Enforcement, Leadership, MS Office, Machinery, Material Management, NDT Level II, PC's, Procurement, Quality Control, Receiving, Self-motivation, Supervisor, Test Equipment, Troubleshooting, articles, automation, closing, coaching, customer support, designing, direction, hand tools, hardware, inventory, materials, mechanical, mechanical test equipment, mechanical theory, oral, personnel, pneumatic and hydraulic theory, processes, programming, progress, quality, repairing, repairs, research, robotic systems, safety, scheduling, shipping, simulation, written."
