address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities1,skills_required,matched_score,skills_text
,"My full name is Kailie Marie Mahea'lani Graciidis. I am an ambitious 20 year old and also a part-time student at Bellevue College. I have a desire to work in the ocean one day and to also manage my own online company, but have yet to choose the right major(s) towards those goals.","['Ability to make decisions and solve problems', 'Ability to work in a team structure', 'Attention to detail', 'Balanced', 'Computer proficient', 'Dependable', 'Determined', 'Educated', 'Fast learner', 'Flexible', 'Friendly', 'Hardworking', 'Honest', 'Issue resolution', 'Interpersonal skills', 'Kind', 'Outgoing', 'Quick on my feet & with my hands', 'Reliable', 'Strong verbal communication', 'Time management', 'Very organized & energetic', 'art', 'critical thinking', 'Electrical Engineering', 'electrical systems', 'forklifts', 'Java', 'logo', 'machinery', 'meetings', 'windows', 'window', 'works', 'next', 'pick', 'processes', 'protocols', 'quality', 'quality assurance', 'Quick', 'Fast learner', 'reading', 'safety', 'sales', 'television', 'Time management']","['Bellevue College', 'Mount Si High School']","['N/A', 'High School Diploma']","['N/A', '2014']","['N/A', 'N/A']","['N/A', 'N/A']","['N/A', 'N/A']","['Stanbury Electrical Engineering', 'Company Name', 'BigFoot Java', 'Company Name']","[None, None, None, None]","['06/2012', '08/2013', '06/2014', 'N/A']","['06/2013', '11/2013', '10/2014', 'N/A']","[['Technical drawing', 'Electrical systems', 'Safety protocols', 'Quality assurance', 'Documentation'], ['Communication', 'Organization', 'Customer service'], ['Customer service', 'Time management', 'Organization', 'Communication'], ['Childcare', 'Time management', 'Organization', 'Reliability']]","['Engineering assistant', 'Receptionist', 'Receptionist and Barista', 'Nanny']","['N/A', 'N/A', 'N/A', 'N/A']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,,,,,,,,,,,Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,Age 30 to 40 years,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",0.3,"Ability to make decisions and solve problems, Ability to work in a team structure, Attention to detail, Balanced, Computer proficient, Dependable, Determined, Educated, Electrical Engineering, Fast learner, Fast learner, Flexible, Friendly, Hardworking, Honest, Interpersonal skills, Issue resolution, Java, Kind, Outgoing, Quick, Quick on my feet & with my hands, Reliable, Strong verbal communication, Time management, Time management, Very organized & energetic, art, critical thinking, electrical systems, forklifts, logo, machinery, meetings, next, pick, processes, protocols, quality, quality assurance, reading, safety, sales, television, window, windows, works."
,,"['Generally Accepted Accounting Principles', 'Generally Accepted Auditing Standards', 'Interviewing Techniques', 'Research & Data Gathering', 'Financial Analysis', 'Budget Preparation', 'Accounts Payable/Accounts Receivable', 'Implementing Effective Internal Controls', 'OMB Circular A-133', 'MS Office', 'Quickbooks', 'Accounting', 'Administrative', 'Agency', 'Audit Report', 'Backup', 'Bank Reconciliations', 'Basic', 'Billing', 'Budgets', 'Cash Register', 'Cashier', 'Catalog', 'Clerical', 'Conferences', 'Contracts', 'Client', 'Data Analysis', 'Database', 'Decision-making', 'Direction', 'Documentation', 'Financial', 'Financial Statements', 'Funds', 'Legal', 'Money', 'Policies', 'Processes', 'Video']","['Fox School of Business, Temple University']",['Bachelor Business Administration'],['N/A'],['N/A'],['N/A'],['Accounting'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['09/2015', '09/2014', '04/2005', '01/2003']","['03/2016', '09/2015', '09/2014', '04/2005']","[['Financial Analysis', 'Internal Controls', 'Data Analysis'], ['Financial Database Management', 'Invoice Management', 'Budget Review'], ['Audit', 'Compliance Review', 'Internal Control Evaluation'], ['Account Analysis', 'Invoice Preparation', 'Statistical Analysis']]","['Accountant', 'Administrative Specialist II', 'Auditor II', 'Accountant']","['City, State', 'City, State', 'City, State', 'City, State']","Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",,,,,,,,,,,,Asst. Manager/ Manger (Administrative),Bachelor/Honors,At least 5 years,Age at least 28 years,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","•Administration
•Health Safety and Environment
•Safety and Security Management",0.85,"Accounting, Accounts Payable/Accounts Receivable, Administrative, Agency, Audit Report, Backup, Bank Reconciliations, Basic, Billing, Budget Preparation, Budgets, Cash Register, Cashier, Catalog, Clerical, Client, Conferences, Contracts, Data Analysis, Database, Decision-making, Direction, Documentation, Financial, Financial Analysis, Financial Statements, Funds, Generally Accepted Accounting Principles, Generally Accepted Auditing Standards, Implementing Effective Internal Controls, Interviewing Techniques, Legal, MS Office, Money, OMB Circular A-133, Policies, Processes, Quickbooks, Research & Data Gathering, Video."
,Currently seeking opportunities as an Analyst as well as Machine Learning Engineer.,"['Data science', 'Deep learning', 'Neural networks', 'Artificial intelligence', 'Machine learning', 'Regression Analysis', 'Data structures', 'Embedded C', 'Microcontroller', 'Arduino', 'Network Management']","['Cummins College of Engineering, Pune']",['B.Tech'],['2018'],['N/A'],['N/A'],['N/A'],['Tata Sons'],['N/A'],['Mar 2018'],['Aug 2020'],"[['Data science', 'Deep learning', 'Neural networks', 'Artificial intelligence', 'Machine learning', 'Regression Analysis', 'Data structures', 'Embedded C', 'Microcontroller', 'Arduino', 'Network Management']]",['Analyst'],['N/A'],"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",['Award'],['L&T'],['N/A'],"['Junior Engineer Award L&T, Best Solution Provided L&T']",,,,,,,,"Full Stack Developer (Python,React js)",Bachelor/Honors,3 to 7 years,,"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,0.916666667,"Arduino, Artificial intelligence, Data science, Data structures, Deep learning, Embedded C, Machine learning, Microcontroller, Network Management, Neural networks, Regression Analysis."
,,"['Administrative support', 'scheduling appointments', 'benefits', 'billing', 'conferences', 'Contract administration', 'data base', 'documentation', 'filing', 'forms', 'home care', 'home health', 'Human Resources', 'HR', 'insurance', 'maintaining inventory', 'leadership', 'Director', 'Management Skills', 'market', 'SharePoint', 'Internet Research', 'patient safety', 'personnel', 'policies', 'presentations', 'pricing', 'public relations', 'purchasing', 'quality', 'research', 'scheduling', 'staffing', 'phone', 'transportation', 'travel arrangements']",['Keiser University'],['Bachelor of Sciences'],['N/A'],['N/A'],['N/A'],['Interdisciplinary Studies'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None]","['November 2013', 'August 2011', 'October 2007', 'October 2005', 'August 2002']","['September 2015', 'October 2013', 'July 2011', 'September 2007', 'October 2005']","[['public relations', 'contract administration', 'Microsoft Office', 'social media', 'PowerPoint', 'billing'], ['contract administration', 'Microsoft Office', 'SharePoint', 'data management', 'HR compliance'], ['coordination', 'managed care', 'nursing scheduling', 'presentation', 'file management'], ['clinic operations', 'patient support', 'scheduling', 'phone management'], ['verification', 'liaison', 'inventory management', 'pricing negotiation']]","['Business Development & Marketing', 'Corporate Associate / HR Assistant', 'Admissions Director', 'Office Coordinator', 'Admissions Coordinator']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,,,,"['English', 'Spanish']","['Advanced', 'Fluent']",,,,,,Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",0.85,"Administrative support, Contract administration, Director, HR, Human Resources, Internet Research, Management Skills, SharePoint, benefits, billing, conferences, data base, documentation, filing, forms, home care, home health, insurance, leadership, maintaining inventory, market, patient safety, personnel, phone, policies, presentations, pricing, public relations, purchasing, quality, research, scheduling, scheduling appointments, staffing, transportation, travel arrangements."
,,"['Data Science', 'Logistic Regression', 'Clustering', 'Data Structures', 'Software Engineer', 'Data Analytics', 'Machine Learning', 'Visual Studio', 'Statistical Analysis', 'Linux', 'Unix', 'Python', 'Software Developer']",['University of Mangalore'],['Bsc (IT)'],['2019'],['N/A'],['N/A'],['Information Technology'],['Systemica Consultants'],['N/A'],['Apr 2019'],['Till date'],"[['Dashboards', 'Analytical Front-ends', 'Machine Learning', 'Statistical Modeling', 'Data Management']]",['SDE'],['N/A'],"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",['Project'],['N/A'],[None],['Training and deploying a machine model.'],,,,,,,,Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year,,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,0.816666667,"Clustering, Data Analytics, Data Science, Data Structures, Linux, Logistic Regression, Machine Learning, Python, Software Developer, Software Engineer, Statistical Analysis, Unix, Visual Studio."
,"Fresher having knowledge in machine learning and natural language processing. Looking to join a role where I can learn from an well informed environment, experiment and produce promising results and work with different kinds of data.","['Data Analyst', 'Machine Learning', 'Data Mining', 'Data Science', 'Natural Language Processing', 'Data Visualization', 'Data Analysis']","['Sai Charan Singh University, Ludhiana', 'Sai Charan Singh University, Ludhiana']","['B.Tech', 'M.Tech']","['2017', '2019']","['N/A', 'N/A']","[None, None]","['Bio-Tech', 'Data Science']",['Telco'],[None],['May 2018'],['Dec 2018'],"[['Data Handling', 'Insights and Reports']]",['Trainee Intern'],['N/A'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",['Understanding Neural Networks'],['Nanyang University'],[None],[None],,,,,,,,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.35,"Data Analysis, Data Analyst, Data Mining, Data Science, Data Visualization, Machine Learning, Natural Language Processing."
,,"['Full Accounting cycle', 'Account reconciliation', 'General ledger accounting', 'Financial statement analysis', 'Budget Planning', 'Cash Management', 'Accounts Receivable Accounts Payable', 'Inventory & Purchases', 'Fixed Assets', 'Microsoft Excel', 'Microsoft Office Suite', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word', 'ADP', 'Quickbooks', 'Peachtree', 'CDI', 'PR Soft', 'PICO or SURI', 'PC Law']","['University of Phoenix', 'University of Phoenix']","['MBA', 'BBA']","['2014', '2010']","[None, None]","[None, None]","['Accounting and Finance', 'Administration']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['03/2018', '07/2017', '03/2015', '03/2013', '01/2012', '03/2008']","[None, '12/2017', '06/2017', '03/2015', '05/2013', '03/2013']","[None, None, None, None, None, None]","['Accountant', 'Accounting and Finance Supervisor', 'Administrator/Accountant', 'Assistant Controller', 'Seasonal Tax Advisor', 'Account Executive']","['City , State', 'City , State', 'City , State', 'City , State', 'City , State', 'City , State']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,,,,"['English', 'Spanish']","['Bi-lingual', 'Bi-lingual']","['Accounting Training Center', 'HR Block']","[None, None]","[None, None]","['2016', '2011']","[None, None]",AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.633333333,"ADP, Account reconciliation, Accounts Receivable Accounts Payable, Budget Planning, CDI, Cash Management, Financial statement analysis, Fixed Assets, Full Accounting cycle, General ledger accounting, Inventory & Purchases, Microsoft Excel, Microsoft Office Suite, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, PC Law, PICO or SURI, PR Soft, Peachtree, Quickbooks."
"Malvern, PA",,"['Visual Studio Code', 'Git', 'Xilinx Vivado', 'MATLAB', 'AutoCAD', 'VHDL', 'Wireshark', 'Arduino IDE', 'VMware', 'JUnit']",['Carnegie Mellon University'],['Bachelor of Science'],['2012'],['N/A'],['N/A'],['Electrical and Computer Engineering'],"['Siemens Healthineers', 'PPG Industries', 'UPMC']","['N/A', 'N/A', 'N/A']","['2018', '2015', '2012']","['current', '2018', '2015']","[['Visual Studio Code', 'Git', 'Xilinx Vivado', 'MATLAB'], ['Wireshark', 'Arduino IDE', 'VMware'], ['JUnit', 'AutoCAD', 'VHDL', 'VMware']]","['Computer Engineer', 'Systems Analyst', 'IT Support Specialist']","['Malvern, PA', 'Pittsburgh, PA', 'Pittsburgh, PA']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,,,,,,,,,,,Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",0.65,"Arduino IDE, AutoCAD, Git, JUnit, MATLAB, VHDL, VMware, Visual Studio Code, Wireshark, Xilinx Vivado."
,"Petroleum Engineering Graduate and Military Veteran seeking a full-time position in an organization that will allow for professional growth, a long career, and meaningful employment.","['SolidWorks 2005', 'Electrical drafting', 'Tube furnaces', 'administrative', 'cash receipts', 'customer service', 'directing', 'instruction', 'inventory', 'leadership', 'logistics', 'machinery', 'marketing', 'mentoring', 'natural gas', 'organizing', 'personnel', 'police', 'progress', 'promotion', 'proposals', 'quality', 'quality control', 'reading', 'reconciling', 'risk management', 'safety', 'sales', 'supervisory', 'supervision']",['LOUISIANA STATE UNIVERSITY'],['Bachelor of Science'],['N/A'],['N/A'],[None],['Petroleum Engineering'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['06/2015', '06/2014', '09/2011', '09/2006']","['08/2015', '08/2014', '01/2012', '10/2010']","[None, None, None, None]","['Engineering Intern', 'Field Engineering Intern', 'Assistant Service Manager', 'Non-Commissioned Officer']","['City, State', 'City, State', 'City, State', 'City, State']","Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","['Philanthropy Committee Chairman', 'INTRAMURAL SPORTS']","['THETA CHI FRATERNITY', None]","[None, None]","['Chairman', 'Participant']",,,,,,,,Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,Age 25 to 40 years,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",0.75,"Electrical drafting, SolidWorks 2005, Tube furnaces, administrative, cash receipts, customer service, directing, instruction, inventory, leadership, logistics, machinery, marketing, mentoring, natural gas, organizing, personnel, police, progress, promotion, proposals, quality, quality control, reading, reconciling, risk management, safety, sales, supervision, supervisory."
,,"['Data Analytics', 'Artificial Intelligence', 'Data Visualization', 'Machine Learning', 'Python', 'Data Wrangling', 'Featurization', 'Heuristics', 'Data Structures']","['Punjabi University, Patiala']",['B.Tech'],['2019'],['N/A'],['N/A'],['Electronics and Communication'],['JP Informatics'],['N/A'],['Feb 2020'],['Oct 2020'],"[['Database Management', 'Recommender System', 'Data Cleaning']]",['Intern'],['N/A'],"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",['Awards'],['Google'],['N/A'],['Analytics for Beginners'],,,,,,,,Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,0.76,"Artificial Intelligence, Data Analytics, Data Structures, Data Visualization, Data Wrangling, Featurization, Heuristics, Machine Learning, Python."
