address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities1,skills_required,matched_score,skills_text
"Virginia Beach, VA",,"['automotive', 'basic', 'broadcast', 'cables', 'cable', 'cabling', 'carpentry', 'chill', 'CA', 'conversion', 'Council', 'SC', 'Direction', 'documentation', 'electrical systems', 'electronics', 'equipment installation', 'experimentation', 'FAX', 'forms', 'government', 'GPS', 'HVAC', 'inspecting', 'Inspection', 'laboratory testing', 'leadership', 'team leadership', 'Team Lead', 'team leader', 'lighting', 'Logic', 'Maple', 'mechanical', 'Navy', 'NDS', 'Network', 'OSS', 'personnel', 'plumbing', 'Positioning', 'Power Supply', 'power supplies', 'quality', 'Radio', 'recording', 'San', 'scheduling', 'sorting', 'technical documentation', 'Technician V', 'telecommunications', 'transmission', 'troubleshooting', 'UHF', 'upgrades', 'upgrade', 'VHF', 'Video', 'welder', 'welding', 'written communications']",['Norview High School'],['Diploma'],['1988'],['N/A'],['N/A'],['Electrical Apprenticeship'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['04/2014', '04/1996', '08/1995', '09/1991', '01/1985', '01/1983']","['07/2015', '07/2015', '04/1996', '08/1995', '01/1991', '01/1985']","[['electrical', 'communications', 'electronics', 'telecommunications', 'leadership', 'GPS', 'design', 'coordination', 'scheduling', 'planning', 'technical documentation'], ['electrical', 'communications', 'team leadership', 'GPS', 'documentation', 'testing', 'installation'], ['production', 'supervision', 'maintenance', 'electrical systems', 'mechanical systems'], ['installation', 'design', 'maintenance', 'repair', 'electrical systems', 'sheet metal fabrication'], ['installation', 'troubleshooting', 'repair', 'supervision'], ['installation', 'troubleshooting']]","['Engineering Technician V', 'Engineering Technician V', 'Maintenance Technician', 'Installation Technician', 'Electrical/Mechanical Foreman', 'Electrical Apprentice']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,,,,,,,,,,,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,Age at most 52 years,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws","AUDIT AND INSPECTION
Banking
Internal Audit",0.533333333,"CA, Council, Direction, FAX, GPS, HVAC, Inspection, Logic, Maple, NDS, Navy, Network, OSS, Positioning, Power Supply, Radio, SC, San, Team Lead, Technician V, UHF, VHF, Video, automotive, basic, broadcast, cable, cables, cabling, carpentry, chill, conversion, documentation, electrical systems, electronics, equipment installation, experimentation, forms, government, inspecting, laboratory testing, leadership, lighting, mechanical, personnel, plumbing, power supplies, quality, recording, scheduling, sorting, team leader, team leadership, technical documentation, telecommunications, transmission, troubleshooting, upgrade, upgrades, welder, welding, written communications."
,I am currently working as a junior Machine Learning Engineer and I want to learn more about how Machine Learning projects impact real work scenarios.,"['Data Mining', 'Deep Learning', 'Machine Learning', 'Software Testing', 'Algorithms', 'Python', 'JIRA', 'NLP', 'SQL', 'Unsupervised learning', 'Clustering', 'Regression', 'Model Development', 'MLOPS']","['STES College of Engineering, Pune']",['B.Tech'],['2019'],['N/A'],['N/A'],['Electronics/Telecommunication'],['TSC Solutions'],['N/A'],['Oct 2019'],['Ongoing'],"[['Machine learning', 'Computer vision']]",['Junior Machine Learning Engineer'],['N/A'],"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",,,,,,,,,,,,Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,Age 25 to 30 years,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","AutoCAD
Communication and negotiation skills
Internet
MS Office",0.483333333,"Algorithms, Clustering, Data Mining, Deep Learning, JIRA, MLOPS, Machine Learning, Model Development, NLP, Python, Regression, SQL, Software Testing, Unsupervised learning."
,,"['assembly', 'ATM', 'Cadence', 'calibration', 'CA', 'hardware', 'DC', 'de-bugging', 'Ethernet', 'Graphic', 'ISO 9000', 'LabView', 'layout', 'Linux OS', 'Logic', 'Mentor', 'Access', 'MS Office', 'Windows', 'multimeters', 'network', 'networking', 'ORCAD', 'oscilloscopes', 'power supplies', 'procurement', 'purchasing', 'Quality Assurance', 'Routers', 'schematics', 'signal generators', 'SONET', 'Switches', 'T1', 'test equipment', 'trouble shooting', 'troubleshooting', 'validation', 'View']",['Solano College'],['Associate Degree'],['N/A'],['N/A'],['N/A'],['Electronics Engineering Technology'],"['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['August 2007', 'January 2002', 'April 1995']","['October 2014', 'June 2007', 'November 2001']","[['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB rework'], ['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB rework'], ['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB layout']]","['Electrical Engineering Lab Technician', 'Electrical Engineering Lab Technician', 'Electrical Engineering Technician and PCB Layout Designer']","['City, State', 'City, State', 'City, State']","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",,,,,,,,,,,,Civil Engineer,B.Sc in Civil Engineering from a reputed university.,At least 5 years,Age at least 30 years,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits","AutoCAD
ETABS
Microsoft Office Suite
MS Project",0.54,"ATM, Access, CA, Cadence, DC, Ethernet, Graphic, ISO 9000, LabView, Linux OS, Logic, MS Office, Mentor, ORCAD, Quality Assurance, Routers, SONET, Switches, T1, View, Windows, assembly, calibration, de-bugging, hardware, layout, multimeters, network, networking, oscilloscopes, power supplies, procurement, purchasing, schematics, signal generators, test equipment, trouble shooting, troubleshooting, validation."
,,"['Adobe Captivate', 'Blackboard', 'Business Objects', 'Clarity', 'Cerner', 'DOORS', 'eCHIMP', 'Eclipsys', 'EHRs', 'EPIC', 'HBOC', 'MACESS', 'IDX', 'I-MAX', 'FACET', 'HEAT', 'SQL Server 2005', 'Cognos', 'ER/Studio', 'Mini-tab', 'Oracle', 'SAS', 'SharePoint Foundation 2007/2010', 'SPSS', 'pcAnywhere', 'Excel', 'Word', 'One Note', 'Outlook', 'Power Point', 'Project', 'SharePoint', 'Visio']","['NOVA SOUTHEASTERN UNIVERSITY', 'BRENAU UNIVERSITY', 'NORFOLK STATE UNIVERSITY', 'TIDEWATER COMMUNITY COLLEGE']","['Masters of Business Administration', 'Attending', 'Bachelor of Science', 'Associate of Science']","['2011', 'N/A', '2008', '2002']","['N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A']","['Project Management', 'Project Management', 'Management Information Systems', 'Business Administration']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None]","['08/2015', '04/2015', '04/2014', '12/2012', '08/2009', '01/2009', '08/1996']","[None, '08/2015', '04/2015', '04/2014', '02/2011', '08/2009', '01/2009']","[None, None, None, None, None, None, None]","['Manager Engineering Manufacturing Systems Engineering Manager', 'Manager Engineering Process Initiatives Manager', 'Manager Engineering Process Manager', 'Business Process Analyst', 'Applications Specialist', 'Business Systems Analyst', 'Information Architect']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",,,,,,,,,,,,Data Engineer,Bachelor of Science (BSc),5 to 8 years,,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",0.65,"Adobe Captivate, Blackboard, Business Objects, Cerner, Clarity, Cognos, DOORS, EHRs, EPIC, ER/Studio, Eclipsys, Excel, FACET, HBOC, HEAT, I-MAX, IDX, MACESS, Mini-tab, One Note, Oracle, Outlook, Power Point, Project, SAS, SPSS, SQL Server 2005, SharePoint, SharePoint Foundation 2007/2010, Visio, Word, eCHIMP, pcAnywhere."
,,"['Analytical reasoning', 'Budget forecasting expertise', 'Account reconciliation expert', 'Financial planner', 'Effective time management', 'Advanced computer proficiency (PC and Mac)', 'Strong organizational skills', 'Excellent managerial techniques', 'Microsoft Windows', 'Word', 'Excel', 'PowerPoint', 'Access', 'Adobe', 'Mac iOS', 'QuickBooks Pro 2015/2016/2017', 'Profit Pluss 2k8', 'SAP', 'Lacerte', 'ComplyRight', 'Real Estate P.M.A.S.', 'AppFolio', 'ADP Ezlabor', 'ADP Payroll']","['Andrés Bello Catholic University', 'Andrés Bello Catholic University', 'Saint Anthony of La Florida', 'Fred Pryor Seminars & Career Track', 'KPMG', 'Andrés Bello Catholic University']","['BBA', 'Course', 'High School Diploma', 'Seminar', 'Seminar', 'Seminar']","['2014', '2009', '2008', '2016', '2014', '2013']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['Accounting', 'Informatics Engineering', 'Science', 'California Payroll Law', 'Tax Planning and Prepaid Taxes', 'SAP']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None]","['04/2017', '02/2017', '10/2016', '10/2016', '05/2010']","['Current', 'Current', '04/2017', '04/2017', '08/2016']","[['QuickBooks', 'GAAP'], [], ['Excel'], ['Accounts receivable', 'Audits'], []]","['Accountant', 'Accountant', 'Bookkeeper', 'Controller Assistant', 'Controller']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,,,,"['Spanish', 'English', 'Portuguese']","['Bilingual', 'Bilingual', 'Fluent reading/writing']",['Venezuela'],[[]],[None],['2014'],['2015'],Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year,,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,0.473333333,"ADP Ezlabor, ADP Payroll, Access, Account reconciliation expert, Adobe, Advanced computer proficiency (PC and Mac), Analytical reasoning, AppFolio, Budget forecasting expertise, ComplyRight, Effective time management, Excel, Excellent managerial techniques, Financial planner, Lacerte, Mac iOS, Microsoft Windows, PowerPoint, Profit Pluss 2k8, QuickBooks Pro 2015/2016/2017, Real Estate P.M.A.S., SAP, Strong organizational skills, Word."
,,"['Data Analysis', 'Data Science', 'Data Visualization', 'Machine Learning', 'Artificial Intelligence', 'Decision Tree', 'Clustering', 'Python', 'SQL', 'Microsoft Excel']",['Silnivesh Institute and College of Technology'],['B.E'],['2020'],['N/A'],['N/A'],['IT and ECE'],['SiT'],['N/A'],['Jul 2019'],['Oct 2020'],"[['Research', 'Customer Satisfaction', 'Relationship Management']]",['Student Research Assistant'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",['Achievements'],['N/A'],['N/A'],['Data science and analytics'],,,,,,,,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",0.626666667,"Artificial Intelligence, Clustering, Data Analysis, Data Science, Data Visualization, Decision Tree, Machine Learning, Microsoft Excel, Python, SQL."
,,"['Web Developer', 'Data Analyst', 'Web Development', 'Machine Learning', 'Python', 'FrontEnd', 'HTML', 'Javascript', 'PHP', 'CSS', 'MySQL', 'Java', 'Data Structures', 'OOP', 'Algorithms', 'C']","['Shri Guru Gobind Singhji College of Engineering and Technology, Nanded']",['B.Tech(Computers)'],['2019'],['N/A'],['N/A'],['Computers'],['SAI Technologies'],['N/A'],['Aug 2020'],['Till Date'],"[['python', 'cybersecurity', 'HTML', 'CSS', 'javascript', 'java', 'Docker containers']]",['Intern'],['N/A'],"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",['Data Analyst'],['Python Programming'],['N/A'],['N/A'],,,,,,,,Business Development Executive,Bachelor/Honors,1 to 3 years,Age 22 to 30 years,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","Fast typing skill
IELTSInternet browsing & online work ability.",0.383333333,"Algorithms, C, CSS, Data Analyst, Data Structures, FrontEnd, HTML, Java, Javascript, Machine Learning, MySQL, OOP, PHP, Python, Web Developer, Web Development."
,,"['Data Science', 'Data Analysis', 'Data Analytics', 'Data Mining', 'Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Python', 'Jupyter', 'OpenCV']","['Amity University, Noida']",['B.Tech'],['2021'],['N/A'],['N/A'],['Computers'],['NaxApp'],[None],['Apr 2020'],['May 2020'],[None],['Software Development Intern'],['N/A'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","['Intermediate Predictive Analysis in Python', 'Importing and Managing Financial Data in Python']","['N/A', 'N/A']","[None, None]","['N/A', 'N/A']",,,,,,,,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,Age 25 to 35 years,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","CCNA (Cisco Certified Network Associate)
GPON
Hardware & Networking
IIG
ISP
IT Enabled services
OLT and ONU",0.736666667,"Artificial Intelligence, Data Analysis, Data Analytics, Data Mining, Data Science, Deep Learning, Jupyter, Linear Regression, Machine Learning, OpenCV, Python."
,"Financial Accountant specializing in financial planning, reporting and analysis within the Department of Defense.","['Account reconciliations', 'Results-oriented', 'Financial reporting', 'Critical thinking', 'Accounting operations professional', 'Analysis of financial systems', 'ERP (Enterprise Resource Planning) software', 'Excellent facilitator', 'Accounting', 'General Accounting', 'Accounts Payable', 'Program Management']","['Northern Maine Community College', 'Husson College']","['Associate', 'N/A']","['1994', 'N/A']","['3.41', 'N/A']","['GPA', None]","['Accounting', 'Accounting']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None, None, None]","['July 2011', 'April 2010', 'July 2008', 'January 2007', 'February 2000', 'February 1999', 'June 1995', 'June 1994', 'June 1993']","['November 2012', 'June 2011', 'April 2010', 'July 2009', 'January 2007', 'February 2000', 'February 1999', 'June 1995', 'June 1994']","[['General Ledger', 'ERP', 'Accounting Adjustments'], ['Coordinating Budget', 'Financial Advice', 'Defense Travel System'], ['Accounting Oversight', 'Financial Analysis', 'Metrics Program'], ['Report Standardization', 'General Accounting', 'Compliance Review'], ['Branch Management', 'Accounts Payable', 'Vendor Pay System'], ['Vendor Pay', 'Financial Statement Reports', 'Process Improvement'], ['Vendor Pay Workflow', 'Personnel Management', 'Training'], ['DoD Accounting Systems', 'Consolidation Procedures'], ['Financial Reports', 'Data Analysis', 'Audit Compliance']]","['Accountant', 'Resource Advisor', 'Staff Accountant', 'Chief, Reports Branch. Accounts Maintenance and Control', 'Chief, Accounts Payable Branch', 'Chief, Recon and Reports Branch', 'Chief, Accounts Payable Branch', 'Accountant, Network Assistant Team', 'Supervisor, Accounts Control Branch']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",,,,,,,['N/A'],[None],[None],['May 2005'],['N/A'],Asst. Manager/ Manger (Administrative),Bachelor/Honors,At least 5 years,Age at least 28 years,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","•Administration
•Health Safety and Environment
•Safety and Security Management",0.85,"Account reconciliations, Accounting, Accounting operations professional, Accounts Payable, Analysis of financial systems, Critical thinking, ERP (Enterprise Resource Planning) software, Excellent facilitator, Financial reporting, General Accounting, Program Management, Results-oriented."
,,"['Machine Learning', 'Software Development', 'Text Analysis', 'Natural Language Processing', 'Image Processing', 'Python', 'Data Management', 'Scikit Learn', 'C', 'C#', '.NET', 'SQL']",['Punjab Technical University'],['B.Tech'],['2020'],['N/A'],['N/A'],['Computer Science'],['HS Institute'],[None],['May 2019'],['Oct 2019'],"[['Data Management', 'Machine Learning']]",['Trainee'],['N/A'],"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",,,,,,,,,,,,Civil Engineer,B.Sc in Civil Engineering from a reputed university.,At least 5 years,Age at least 30 years,"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits","AutoCAD
ETABS
Microsoft Office Suite
MS Project",0.416666667,".NET, C, C#, Data Management, Image Processing, Machine Learning, Natural Language Processing, Python, SQL, Scikit Learn, Software Development, Text Analysis."
